key,ru,en,zh,hi,es
account_frozen,"🚫 <b>Ваш аккаунт заморожен</b>

Доступ к боту временно ограничен.
Для разблокировки обратитесь в техническую поддержку.","🚫 <b>Your account has been frozen</b>

Access to the bot has been temporarily restricted.
To unblock it, please contact technical support.","🚫 <b>您的账户已被冻结</b>

您目前已暂时无法访问机器人。

如需解除限制，请联系技术支持。","🚫 <b>आपका खाता फ्रीज कर दिया गया है</b>

बॉट तक पहुंच अस्थायी रूप से प्रतिबंधित कर दी गई है।
इसे अनब्लॉक करने के लिए, कृपया तकनीकी सहायता से संपर्क करें।","🚫 <b>Tu cuenta ha sido bloqueada</b>

El acceso al bot ha sido restringido temporalmente.
Para desbloquearlo, contacta con el soporte técnico."
account_menu,"👤 <b>Мой аккаунт</b>

Выберите раздел:","👤 <b>My Account</b>

Select a section:","👤 <b>我的账户</b>

选择一个版块：","👤 <b>मेरा खाता</b>

एक अनुभाग चुनें:","👤 <b>Mi cuenta</b>

Selecciona una sección:"
all_photos_reviewed,Все фотографии просмотрены. У вас есть {approved} утверждённых фото.,All photos have been reviewed. You have {approved} approved photos.,所有照片均已审核。您有{approved}张已审核通过的照片。,सभी तस्वीरों की समीक्षा हो चुकी है। आपने तस्वीरों को {मंजूर} कर दिया है।,Se han revisado todas las fotos. Tienes {approved} fotos aprobadas.
angles_base_photo,Базовое фото:,Base photo:,底图：,मूल तस्वीर:,Foto base:
angles_intro,Добавьте новые позы и ракурсы для создания профиля товара на основе этого фото.,Add new poses and angles to create a product profile based on this photo.,添加新的姿势和角度，根据这张照片创建产品简介。,इस फोटो के आधार पर उत्पाद प्रोफाइल बनाने के लिए नए पोज और एंगल जोड़ें।,Agregue nuevas poses y ángulos para crear un perfil de producto basado en esta foto.
aspect_need_one,"Выберите хотя бы одно соотношение сторон, чтобы продолжить.",Please select at least one aspect ratio to continue.,请至少选择一个宽高比以继续。,आगे बढ़ने के लिए कृपया कम से कम एक आस्पेक्ट रेशियो चुनें।,Seleccione al menos una relación de aspecto para continuar.
aspect_selected_header,Выбранные соотношения сторон:,Selected aspect ratios:,选定的宽高比：,चयनित पहलू अनुपात:,Relaciones de aspecto seleccionadas:
background_need_one,"Выберите хотя бы один цвет фона, чтобы продолжить.",Please select at least one background color to continue.,请至少选择一种背景颜色以继续。,आगे बढ़ने के लिए कृपया कम से कम एक पृष्ठभूमि रंग चुनें।,Seleccione al menos un color de fondo para continuar.
background_select_single,"Выберите один или несколько цветов фона для создания фото ваших вещей на модели.
ВАЖНО: При выборе нескольких фонов генерируется соответствующее количество фотографий, перемноженное на количество загруженных вещей.","Select one or more background colors to create photos of your items on a model.
IMPORTANT: Selecting multiple backgrounds generates the corresponding number of photos multiplied by the number of items uploaded.","选择一种或多种背景颜色，即可在模特身上拍摄商品照片。

重要提示：选择多种背景颜色将生成相应数量的照片，照片数量为上传商品数量的乘积。","मॉडल पर अपने आइटम की तस्वीरें बनाने के लिए एक या अधिक बैकग्राउंड रंग चुनें।
महत्वपूर्ण: एक से अधिक बैकग्राउंड चुनने पर अपलोड किए गए आइटम की संख्या को फोटो की संख्या से गुणा करके उतनी ही संख्या में तस्वीरें बनेंगी।","Selecciona uno o más colores de fondo para crear fotos de tus artículos en un modelo.
IMPORTANTE: Seleccionar varios fondos genera el número correspondiente de fotos multiplicado por el número de artículos subidos."
background_selected_header,Выбранные цвета фона:,Selected background colors:,选定的背景颜色：,चयनित पृष्ठभूमि रंग:,Colores de fondo seleccionados:
balance_generations,Генераций: <b>{count}</b>,Generations: <b>{count}</b>,世代数：<b>{count}</b>,पीढ़ियाँ: <b>{count}</b>,Generaciones: <b>{count}</b>
balance_price_per_gen,Стоимость 1 генерации: <b>{price} ₽</b>,Cost of 1 generation: <b>{price} ₽</b>,一代成本：<b>{price} ₽</b>,एक पीढ़ी की लागत: ₽</b>,Costo de 1 generación: <b>{price} ₽</b>
balance_rubles,Рублей: <b>{amount} ₽</b>,Rubles: <b>{amount} ₽</b>,卢布：<b>{金额} ₽</b>,रूबल: <b>{राशि} ₽</b>,Rublos: <b>{cantidad} ₽</b>
